Q24789_0_3.1348_65.589_1.76567_-1.09404||0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,16,28,7,5,0,0,0,0,0,0,0,0,20,12,0,0,23,5,0,0,29,29,7,12,56,29,5,0,0,11,7,20,38,45,10,0,0,0,0,14,0,0,0,0,39,56,36,8,39,14,0,0,46,56,21,24,56,22,0,0,5,8,8,39,38,11,0,0,0,0,19,47,0,0,0,0,8,56,56,7,37,0,0,0,10,52,56,56,52,0,0,0,0,0,35,56,11,0,0,0,0,0,54,45
Q24789_1_8.26344_431.038_1.75921_1.22328||42,27,0,4,11,12,9,14,49,28,0,6,17,25,18,14,45,37,4,0,12,45,8,9,8,17,9,0,27,50,6,0,41,24,0,0,10,14,19,20,50,34,0,6,20,22,17,21,36,22,4,4,43,50,15,12,26,32,8,0,17,50,17,6,28,12,0,0,0,21,31,21,50,14,0,0,17,31,23,38,19,10,9,17,50,50,14,15,17,23,13,10,19,45,26,8,11,11,0,0,0,6,6,0,28,13,0,0,8,20,12,15,11,9,0,0,24,47,12,9,18,38,22,6,13,28,10,8
Q24789_2_8.26344_431.038_1.75921_-1.45151||26,18,7,10,17,6,0,0,26,20,11,22,15,0,0,0,4,20,12,28,27,9,0,0,9,21,13,22,19,0,0,4,44,30,6,7,21,23,7,16,50,28,16,33,17,4,7,28,20,30,27,50,36,0,0,4,7,26,21,34,32,0,0,4,35,40,11,14,29,14,7,13,50,36,11,18,26,9,7,28,35,21,12,44,50,6,0,14,16,16,10,31,42,9,0,15,38,30,4,9,31,22,4,6,50,49,4,10,22,11,0,4,26,21,6,36,50,12,0,6,22,21,10,35,32,4,6,19
Q24789_3_17.8634_423.045_1.7812_1.31927||41,14,4,9,24,12,0,11,48,24,4,8,20,11,0,10,36,19,4,6,29,36,9,9,48,45,8,10,18,16,4,6,33,27,14,12,14,6,0,8,48,32,9,13,20,9,4,17,41,34,12,26,40,20,4,10,48,47,4,0,6,14,0,8,28,20,12,8,20,17,6,12,48,20,0,6,16,18,12,31,48,27,4,12,22,29,17,20,44,34,4,0,20,42,0,8,31,15,0,4,14,17,10,14,44,27,0,6,13,12,11,16,48,27,0,8,19,18,12,15,33,14,0,0,36,48,9,9
Q24789_4_26.4193_390.891_1.76914_1.41279||42,20,0,4,26,13,0,6,45,20,0,10,29,14,6,19,41,12,6,13,45,23,7,22,13,7,10,12,41,26,10,13,45,15,0,9,25,15,9,19,45,39,6,16,30,14,7,15,29,25,7,10,45,32,7,14,10,7,7,19,45,23,4,10,44,10,0,4,16,25,13,24,45,12,0,0,21,29,13,44,30,20,6,10,45,30,7,21,17,19,9,21,45,21,0,4,30,10,0,6,24,20,10,20,45,15,0,4,23,23,10,32,40,9,0,4,28,30,16,27,27,9,0,10,45,17,4,12
Q24789_5_26.4193_390.891_1.76914_-1.49595||40,11,7,32,33,0,4,23,32,25,13,40,35,4,0,4,30,18,15,39,36,6,4,7,21,13,7,23,33,4,0,13,45,9,4,12,24,15,10,27,45,17,12,34,30,13,6,15,25,24,17,45,43,8,0,6,19,21,12,37,39,0,0,6,41,9,0,9,15,9,7,33,45,19,6,17,27,17,4,18,29,9,6,25,45,28,7,21,27,7,4,25,45,8,4,19,44,16,4,8,4,6,8,25,45,16,6,21,18,8,8,27,29,11,7,40,45,7,0,15,28,7,6,19,39,4,0,12
Q24789_6_35.5533_167.782_2.01519_-1.12221||0,4,0,0,6,41,23,0,0,6,6,0,0,50,43,0,0,12,26,17,13,50,36,0,0,13,41,19,12,39,32,0,10,0,0,0,17,50,24,12,39,36,25,0,6,43,32,22,15,33,49,31,10,15,8,6,13,34,46,27,6,0,0,6,25,27,0,0,8,50,24,16,50,47,8,0,0,14,15,31,27,20,20,22,16,9,10,19,21,22,22,20,13,0,0,17,35,49,15,4,6,22,4,6,44,50,0,0,0,0,0,9,21,28,17,6,0,0,0,6,9,31,28,9,0,0,0,0
Q24789_7_36.2938_391.125_1.75054_1.37093||38,26,4,7,20,17,8,13,41,24,9,8,20,21,12,28,28,19,4,15,47,29,4,10,27,22,12,23,31,11,0,0,42,17,0,0,23,24,9,18,47,21,0,12,32,23,8,27,41,14,0,26,47,15,6,16,35,14,0,13,38,39,17,18,42,25,0,9,32,15,4,4,47,26,0,7,30,20,8,24,24,9,11,13,47,28,9,17,12,6,8,15,44,41,13,12,39,19,0,10,24,15,8,15,41,37,7,10,29,20,4,13,15,12,7,10,39,29,7,11,6,4,4,21,42,20,0,4
Q24789_8_36.2938_391.125_1.75054_-1.75268||42,19,0,4,6,4,4,21,39,29,6,11,15,12,6,10,29,19,4,13,42,36,7,10,25,15,8,15,40,18,0,10,45,39,12,11,11,6,8,15,47,27,8,18,25,9,11,14,30,19,8,26,47,25,0,8,32,14,4,4,42,24,0,9,39,40,17,18,35,13,0,13,47,14,6,17,41,13,0,27,32,22,8,28,47,19,0,13,23,24,10,20,42,16,0,0,31,11,0,0,27,21,11,24,47,28,4,10,29,18,4,15,21,20,11,29,41,24,9,9,19,17,8,13,39,25,4,7
Q24789_9_39.7202_156.778_1.79962_0.172647||36,14,0,15,30,14,21,22,49,35,15,9,0,0,7,24,26,19,34,46,6,0,7,11,4,9,42,38,4,0,15,14,49,33,0,21,47,4,0,4,49,40,0,0,0,0,6,22,39,15,19,17,0,9,26,27,16,11,42,27,0,0,14,26,40,42,17,32,41,0,0,0,49,40,14,0,0,0,11,32,25,18,15,0,0,17,34,29,42,15,6,0,0,0,15,33,36,23,7,31,35,0,0,11,41,37,21,6,4,6,11,15,17,22,23,11,7,10,10,9,32,15,0,0,0,0,4,21
